EmpNumber,Age,Gender,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating,ExperienceGap,AvgExperiencePerCompany,AgeGroup,PerformanceCategory,TenureCategory
0,0.3333333333333333,1,2,2,5,13,2,0.3214285714285714,0.5,1.0,0.35714285714285715,0.6666666666666667,0.25,1.0,0.1111111111111111,0,0.0714285714285714,1.0,0.25,0.3333333333333333,0.3333333333333333,0.25,0.38888888888888884,0.0,0.47058823529411764,0,0.5,0.0,0.25,1,2,2
1,0.6904761904761905,1,2,2,5,13,2,0.4642857142857143,0.75,1.0,0.17142857142857143,0.6666666666666667,0.25,0.0,0.2222222222222222,0,0.0714285714285714,1.0,0.5,0.3333333333333333,0.6666666666666667,0.17500000000000002,0.38888888888888884,0.06666666666666667,0.4117647058823529,0,0.5,0.3939393939393939,0.25,3,2,2
2,0.5238095238095237,1,1,1,5,13,1,0.14285714285714285,0.75,1.0,0.2571428571428572,0.3333333333333333,0.5,0.0,0.5555555555555556,1,0.7142857142857143,0.6666666666666667,0.5,0.3333333333333333,0.6666666666666667,0.45,0.7222222222222222,0.06666666666666667,0.7058823529411764,0,1.0,0.06060606060606061,0.1,2,0,0
3,0.5476190476190477,1,0,0,3,8,2,0.3214285714285714,0.75,0.3333333333333333,0.6142857142857143,0.3333333333333333,1.0,1.0,0.3333333333333333,0,0.2857142857142857,0.3333333333333333,0.5750000000000001,0.3333333333333333,0.3333333333333333,0.525,0.3333333333333333,0.8,0.3529411764705882,0,0.5,0.06060606060606061,0.19166666666666668,2,2,0
4,0.9999999999999998,1,2,2,5,13,2,0.5357142857142857,0.75,0.0,0.7714285714285714,0.6666666666666667,0.25,0.0,0.8888888888888888,0,0.2142857142857143,1.0,0.25,0.16666666666666666,0.6666666666666667,0.05,0.1111111111111111,0.13333333333333333,0.11764705882352941,0,0.5,0.24242424242424243,0.03125,3,2,3
5,0.21428571428571425,1,1,0,1,3,1,0.3214285714285714,0.25,1.0,0.02857142857142858,0.6666666666666667,0.5,0.0,0.1111111111111111,0,0.7142857142857143,0.6666666666666667,0.225,0.6666666666666666,0.3333333333333333,0.225,0.38888888888888884,0.06666666666666667,0.4117647058823529,0,1.0,0.0,0.225,1,0,2
6,0.7619047619047619,1,2,1,5,14,2,0.25,0.75,1.0,0.3428571428571428,0.6666666666666667,0.0,0.3333333333333333,0.7777777777777777,0,0.2857142857142857,1.0,0.1,0.3333333333333333,0.6666666666666667,0.05,0.1111111111111111,0.13333333333333333,0.11764705882352941,0,0.5,0.06060606060606061,0.014285714285714285,3,2,3
7,0.23809523809523808,0,1,2,1,3,2,0.0,0.25,0.0,0.5285714285714285,0.0,0.0,0.3333333333333333,0.7777777777777777,1,0.1428571428571428,1.0,0.25,0.6666666666666666,0.6666666666666667,0.17500000000000002,0.38888888888888884,0.2,0.4117647058823529,1,0.5,0.09090909090909091,0.03571428571428572,1,2,2
8,0.42857142857142855,0,1,1,1,3,0,0.25,0.5,0.0,0.4714285714285715,1.0,0.5,0.0,1.0,0,0.2142857142857143,0.0,0.25,0.3333333333333333,0.6666666666666667,0.2,0.38888888888888884,0.0,0.29411764705882354,0,0.5,0.06060606060606061,0.02777777777777778,2,2,2
9,0.4761904761904761,0,1,2,1,3,2,0.0,0.5,0.6666666666666667,0.7285714285714284,0.6666666666666667,0.5,0.6666666666666667,0.4444444444444444,1,0.2142857142857143,1.0,0.25,0.6666666666666666,1.0,0.025,0.0,0.0,0.0,0,0.5,0.2727272727272727,0.0625,2,2,3
